dist,sample,group
0.36748616075456864,125,cma
0.40871705265348746,125,cma
0.42739568770090497,125,cma
0.3806789506906133,125,cma
0.3926202086266347,125,cma
0.42545341085920874,125,cma
0.4329792633931074,125,cma
0.3718587804297459,125,cma
0.40483956820383593,125,cma
0.43780048152710177,125,cma
0.4293659371167924,50,cma
0.41895893095054265,50,cma
0.39493012358887286,50,cma
0.4068578155892636,50,cma
0.4703642892087156,50,cma
0.4342276082103839,50,cma
0.37914685332105375,50,cma
0.4231234009807778,50,cma
0.3875465900169669,50,cma
0.3873241540539938,50,cma
0.3723128280490655,150,cma
0.3806623988667087,150,cma
0.37210013433485584,150,cma
0.3746563527937722,150,cma
0.37676942736940344,150,cma
0.384563648140221,150,cma
0.39428895683353377,150,cma
0.3919772570221244,150,cma
0.3771355642774403,150,cma
0.3911470818151048,150,cma
0.3705586097356314,100,cma
0.38949204858564246,100,cma
0.3932206443115065,100,cma
0.3753530699561846,100,cma
0.39831912752743487,100,cma
0.3855674572983328,100,cma
0.3979247828055757,100,cma
0.37399353169804506,100,cma
0.3785362004358628,100,cma
0.39034338872921487,100,cma
0.416019683676586,75,cma
0.3712728696813868,75,cma
0.3855179190995092,75,cma
0.3923299067349922,75,cma
0.38536183056915246,75,cma
0.38827539904226926,75,cma
0.3852013110636018,75,cma
0.44568262545747334,75,cma
0.37846856308006344,75,cma
0.3999426045582599,75,cma
0.38154512202452967,125,random
0.4003008312620068,125,random
0.3875447493945954,125,random
0.3809937437891189,125,random
0.39268602363984473,125,random
0.3815386929834704,125,random
0.37845284350469766,125,random
0.3809528683102882,125,random
0.3707678905548328,125,random
0.38105976449499046,125,random
0.37986914028165664,150,random
0.3930218617513376,150,random
0.3900877668984461,150,random
0.38313793918696715,150,random
0.3681496556430128,150,random
0.3726618968456215,150,random
0.3758963213381189,150,random
0.3842668746783856,150,random
0.37210920396057623,150,random
0.3758901819704993,150,random
0.3679219877271185,75,random
0.39130855342418314,75,random
0.4410453457136705,75,random
0.38346753050714893,75,random
0.3861468492393594,75,random
0.39660970082811986,75,random
0.41094390365360817,75,random
0.39925947528131744,75,random
0.39629378819676664,75,random
0.41411709860861984,75,random
0.3914775305637049,100,random
0.3684570760969101,100,random
0.3799034500503463,100,random
0.3968493523540083,100,random
0.3834799590521744,100,random
0.4065903693724729,100,random
0.3842668746783856,100,random
0.38528694253700024,100,random
0.37576641941363426,100,random
0.3928320634408945,100,random
0.4096700269087632,50,random
0.3957233009168137,50,random
0.4065903693724729,50,random
0.3841442446761148,50,random
0.3769028105464036,50,random
0.40167056258667855,50,random
0.4216356029492738,50,random
0.4463109105864941,50,random
0.3973837197276147,50,random
0.37177012888139943,50,random
